宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
出/B 月/B 后/B 可/B 以/M 用/B 去/B 斑/M 产/B 品/M 吗/B ?/B
出/B 生/M 2/B 天/B 宝/B 宝/M 打/B 嗝/M 怎/B 么/M 回/M 事/M
出/B 生/M 二/B 十/M 天/B 宝/B 宝/M 3/B 8/M ./M 1/M 怎/B 么/M 办/M
出/B 血/M 过/B 多/B 吃/B 孕/B 酮/M 片/B 管/B 用/M 吗/B ?/B
刚/B 做/B 完/M 人/B 流/M 可/B 以/M 吃/B 鱿/B 鱼/M 吗/B ?/B
刚/B 出/B 生/M 8/B 天/B 宝/B 宝/M 黄/B 旦/M 怎/B 么/M 冶/B
刚/B 怀/B 孕/M ,/B 总/B 觉/B 得/M 下/B 体/M 有/B 腥/B 味/M
刚/B 怀/B 孕/M 2/B 个/B 月/B 跑/B 步/M 肚/B 子/M 好/B 痛/B
刚/B 怀/B 孕/M 一/B 个/B 多/B 月/B ,/B 累/B 总/B 腰/B 酸/M
刚/B 来/M 月/B 经/M 可/B 以/M 吃/B 药/M 延/B 后/M 吗/B ?/B
刚/B 生/B 了/B 宝/B 宝/M 肚/B 子/M 痛/M 下/B 面/M 痛/B
刚/B 纹/B 完/B 图/B 案/M 发/B 白/B 什/B 么/M 原/B 因/M ?/B
刚/B 过/B 完/B 月/B 经/M 爱/B 爱/M 会/B 怀/B 孕/M 吗/B ?/B
刨/B 宫/B 产/B 2/B 个/B 月/B 能/B 骑/B 自/M 行/M 车/M 吗/B
利/B 塞/M 膦/B 酸/B 钠/M 片/B 是/B 激/B 素/M 药/B 吗/B ?/B
利/B 巴/M 韦/M 林/M 颗/B 粒/M 3/B g/M ./M b/M a/M b/M y/M t/M r/M e/M e/M ./M c/M o/M m/M
利/B 巴/M 韦/M 林/M 颗/B 粒/M 5/B 岁/B 小/B 儿/M 用/B 量/M
前/B 列/M 环/B 素/B 前/B 列/M 腺/M 素/M 的/B 区/B 别/M
前/B 脚/B 掌/M 厚/B 茧/B ,/B 过/B 一/B 段/M 时/M 间/M 蜕/B
剖/B 宫/M 产/M 1/B 年/B 半/B 可/B 以/M 做/B 药/B 流/M 吗/B
剖/B 腹/M 产/M 二/B 胎/M 还/B 可/B 以/M 顺/B 产/M 吗/B ?/B
割/B 双/B 眼/M 皮/M 疤/B 痕/M 多/B 久/M 可/B 去/B 除/M ?/B
功/B 能/M 性/M 子/B 宫/M 出/M 血/M 怎/B 么/M 检/B 查/M ?/B
动/B 了/B 小/B 手/B 术/M 可/B 以/M 吃/B 猪/B 肝/M 吗/B ?/B
包/B 皮/M 割/B 后/B 阴/B 茎/M 有/B 什/B 么/M 变/B 化/M ?/B
包/B 茎/M 什/B 么/B 时/B 间/M 做/B 手/B 术/M 最/B 佳/M
化/B 验/M 血/B 能/B 化/B 验/M 出/B 艾/B 滋/M 病/M 吗/B ?/B
北/B 京/M 肾/B 骨/M 胶/M 囊/M 多/B 少/M 钱/B 一/B 盒/M ?/B
医/B 生/M 说/B 我/B 肾/B 阳/M 虚/M 吃/B 什/M 么/M 补/B ?/B
医/B 院/M 为/B 什/M 么/M 很/B 少/M 给/B 你/B 做/B b/B 超/M
医/B 院/M 尿/B 检/M 都/B 会/M 检/B 查/M 出/B 什/B 么/M ?/B
医/B 院/M 挂/B 号/M 要/B 下/B 载/M 什/B 么/M 网/B 吗/B ?/B
午/B 休/M 1/B 小/B 时/M 起/B 来/M 头/B 疼/M 不/B 清/B 醒/M
半/B 夜/M 肚/B 子/M 疼/M 一/B 疼/B 就/B 想/B 大/B 便/M
华/B 生/M 彩/B 行/B 1/B 9/M 8/M 7/M 号/B 各/B 腿/B 功/B 能/M 。/B
卵/B 巢/M 癌/M 吃/B 那/B 些/M 中/B 药/M 煲/B 汤/M 好/B ?/B
卵/B 泡/M 排/B 出/M 后/B b/B 超/M 显/B 示/M 有/B 血/B 体/B
去/B 北/B 医/M 三/M 院/M 看/B 病/M 好/B 挂/B 号/M 吗/B ?/B
去/B 检/B 查/M 妇/B 科/M 前/B 可/B 以/M 自/B 慰/M 吗/B ?/B
双/B j/M 管/M 掉/B 到/B 膀/B 胱/M 里/B 怎/B 么/M 取/B 出/M
双/B 下/B 肺/B 野/B 肺/B 纹/B 理/M 增/B 多/M ,/B 增/B 粗/M
反/B 流/B 性/B 胃/B 炎/M 能/B 吃/B 猴/B 头/M 饼/B 干/M ?/B
发/B 烧/M 是/B 全/B 身/M 发/B 热/M ,/B 还/B 是/M 发/B 冷/M
口/B 腔/M 多/B 处/B 溃/B 疡/M ,/B 下/B 腭/B 淋/B 巴/M 疼/B
只/B 要/M 射/B 到/B 里/B 面/M 就/B 会/M 怀/B 孕/M 吗/B ?/B
可/B 不/M 可/M 以/M 吃/B 东/B 西/M 再/B 去/B 做/B b/B 超/M
可/B 以/M 经/B 常/M 喝/B 干/B 蒲/B 公/M 英/M 水/B 吗/B ?/B
台/B 湾/M 一/B 条/M 根/M 可/B 以/M 擦/B 头/B 皮/M 吗/B ?/B
右/B 眼/B 皮/M 总/B 跳/B 是/B 怎/B 么/M 回/M 事/M 啊/B ?/B
右/B 眼/B 睛/M 一/B 只/M 睁/B 不/M 开/M ,/B 有/B 异/B 物/M
吃/B 了/B 6/B 颗/B 感/B 冒/M 药/M 有/B 没/M 有/M 事/B 啊/B
吃/B 了/B 伟/B 哥/M 怀/B 孕/M 有/B 什/B 么/M 影/B 响/M ?/B
吃/B 了/B 辣/B 椒/M ,/B 为/B 什/M 么/M 右/B 侧/M 就/B 痛/B
吃/B 什/M 么/M 食/B 物/M 是/B 补/B 气/B 血/M 的/B 呢/B ?/B
吃/B 利/B 培/M 酮/B 口/B 崩/B 片/B 会/B 变/B 傻/B 吗/B ,/B
吃/B 海/B 马/M 小/B 孩/M 真/B 的/B 会/B 长/M 高/B ./B 吗/B
吃/B 激/B 素/M 胖/B 的/B 人/B 能/B 减/B 下/B 肥/B 吗/B ?/B
吃/B 维/B c/M 能/B 和/B 优/B 甲/M 乐/M 一/B 起/M 吃/B 吗/B
吃/B 酵/B 素/M 会/B 让/B 月/B 经/M 不/B 干/B 净/M 吗/B ?/B
吃/B 鸡/M 蛋/M 会/B 影/B 响/M 唐/B 氏/M 筛/M 查/M 吗/B ?/B
吉/B 宋/B 工/B 业/M 空/B 调/M l/B f/M 5/M 5/M 故/B 障/M 代/B 码/M
同/B 房/M 时/B 小/B 腹/M 胀/B ,/B 感/B 觉/M 有/B 胀/B 气/M
后/B 背/M 偶/B 尔/M 疼/B 一/B 会/M 右/B 侧/M 中/B 间/M
含/B 维/B 生/M 素/M e/B 的/B 营/B 养/M 品/M 有/B 什/B 么/M
吸/B 小/B 腹/M 就/B 疼/B ,/B 而/B 且/M 小/B 腹/M 很/B 涨/B
呼/B 吸/M 道/M 感/M 染/M 突/B 然/M 吸/B 不/B 进/B 气/M
咋/B 个/M 区/B 别/M 苦/B 参/M 与/B 甘/B 草/M ,/B 形/B 状/M
咋/B 样/B 让/B 月/B 经/M 年/B 龄/M 闭/B 的/B 晚/B 些/B ?/B
和/B 熟/B 地/M 有/B s/B i/M t/M e/M :/B i/B a/M s/M k/M ./M s/M i/M n/M a/M ./M c/M o/M m/M ./M c/M n/M
咽/B 喉/M 炎/M 会/B 晨/B 起/B 痰/B 中/B 有/B 血/B 吗/B ?/B
哥/B 本/B 哈/B 斯/M 减/B 肥/M 法/M 能/B 减/B 多/B 少/M
哪/B 个/M 医/B 院/M 治/B 疗/M 乙/B 腺/B 癌/M 最/B 好/M ?/B
唇/B 炎/M 会/B 不/M 会/M 变/B 成/M 红/B 斑/M 狼/B 苍/B ?/B
唐/B 氏/M 综/B 合/M 症/M 2/B 1/M 三/B 体/M 超/B 标/M 1/B :/B 1/B 8/M 3/M
喝/B 中/B 药/M 能/B 吃/B 熟/B 的/B 葱/B 姜/B 蒜/B 吗/B ?/B
喝/B 中/B 药/M 越/B 补/B 越/B 虚/B 微/B 信/B 中/B 医/M
喝/B 亚/B 麻/M 籽/M 油/M 是/B 否/M 可/B 以/M 通/B 便/M ,/B
喝/B 人/B 参/M 和/B 黄/B 芪/M 后/B 会/B 头/B 疼/M 吗/B ?/B
喝/B 酒/M 后/B 胃/B 疼/M 的/B 很/B ,/B 是/B 什/M 么/M 病/B
嘉/B 兴/M 二/B 院/M 可/B 以/M 办/B 健/B 康/M 证/M 吗/B ?/B
嘴/B 一/B 张/B 开/M 牙/B 骨/B 眼/B 痛/B 为/B 什/M 么/M ?/B
嘴/B 唇/M 上/B 火/M 可/B 以/M 用/B 牙/B 膏/M 涂/B 么/B ?/B
嘴/B 唇/M 没/B 闭/B 合/M 能/B p/B 成/B 闭/B 合/M 的/B 吗/B
囊/B 实/B 性/B 包/B 块/B 能/B 自/B 己/M 消/B 失/M 吗/B
囊/B 肿/M 性/B 纤/B 维/M 症/B 输/B 精/M 管/M 缺/B 如/M
四/B 个/M 月/M 宝/B 宝/M 能/B 吃/B 维/B 生/M 素/M c/B 吗/B
四/B 维/M 彩/M 超/M 上/B m/B 的/B 意/B 思/M 是/B 什/M 么/M
坐/B 月/M 子/M 头/B 发/M 经/B 常/M 湿/B 怎/B 么/M 办/M ?/B
垂/B 体/M 体/B 积/M 正/B 常/M ,/B 但/B 显/B 示/M 不/B 清/B
埋/B 线/M 双/B 眼/M 皮/M 后/B 肉/B 可/B 以/M 吃/B 吗/B ?/B
塘/B 沽/M 圣/B 爱/B 医/B 院/M 妇/B 科/M 好/B 不/M 好/M
塘/B 沽/M 治/B 疗/M 妇/B 科/M 病/M 专/B 科/M 医/M 院/M
增/B 高/M 期/B 晚/B 上/M 脚/B 底/M 热/B 乎/M 乎/M 的/B ?/B
处/B 女/M 手/B 淫/M 会/B 导/M 致/M 肚/B 子/M 疼/M 吗/B ?/B
备/B 孕/M 男/B 的/B 能/B 吃/B 维/B c/M 银/M 翘/M 片/M 吗/B
复/B 合/M 维/M 生/M 素/M b/B 注/B 射/M 液/M 叫/B 什/B 么/M
复/B 合/M 维/M 生/M 素/M b/B 能/B 不/M 能/M 天/B 天/M 吃/B
多/B 年/B 喉/B 咽/M 严/B 重/M 感/B 染/M 怎/B 么/M 办/M ?/B
多/B 胎/B 妊/B 娠/M ,/B 只/B 有/M 一/B 个/B 卵/B 黄/M 囊/M
大/B 人/M 可/B 以/M 用/B 医/B 用/M 退/B 热/M 贴/M 吗/B ?/B
大/B 人/M 铅/B 超/B 标/M 会/B 影/B 响/M 胎/M 儿/M 吗/B ?/B
大/B 姨/M 妈/M 不/B 来/B ,/B 小/B 腹/M 有/B 点/M 抽/B 疼/B
大/B 姨/M 妈/M 来/B 可/B 以/M 吃/B 白/B 萝/M 卜/M 吗/B ?/B
大/B 姨/M 妈/M 经/B 常/M 推/B 迟/M 很/B 久/M 量/B 少/B
大/B 肠/M 消/B 化/M 液/M 组/B 成/M 消/B 化/M 功/B 能/M
天/B 麻/M 和/B 莲/B 米/M 一/B 起/M 吃/B 可/B 以/M 吗/B ?/B
太/B 极/M 拳/M 云/B 手/B 对/B 身/B 体/M 的/B 好/B 处/M ?/B
失/B 眠/M 会/B 不/M 会/M 导/B 致/M 血/B 压/M 升/M 高/M ?/B
头/B 一/B 下/B 好/B 重/B !/B 头/B 要/B 一/B 下/B 想/B 吐/M
头/B 孢/M 呋/M 辛/M 钠/M 一/B 天/M 能/B 输/B 4/B g/M 吗/B ?/B ?/B
头/B 痛/M ,/B 全/B 身/M 没/B 力/B 嗨/B 吃/B 什/M 么/M 药/B
头/B 痛/M ./B 全/B 身/M 疼/B 痛/M 的/B 缓/B 解/M 办/B 法/M
女/B ,/B 2/B 6/M 岁/B ,/B 血/B 红/M 蛋/M 白/M 多/B 少/M 合/B 适/M
女/B 人/M 嘴/B 边/M 长/B 痘/B 痘/M 是/B 太/B 骚/B 了/B ?/B
女/B 人/M 夫/B 科/B 炎/B 症/M 是/B 怎/B 么/M 来/B 的/B ,/B
女/B 人/M 经/B 常/M 打/B 胎/M 对/B 身/B 体/M 好/B 吗/B ?/B
女/B 人/M 阴/B 毛/M 里/B 张/B 疙/B 瘩/M 是/B 什/M 么/M ?/B
女/B 儿/M 4/B 岁/B 晚/B 上/M 半/B 夜/M 都/B 不/B 睡/M 觉/M
女/B 孩/M 以/B 开/B 始/M 讨/B 厌/M 你/M ,/B 为/B 什/M 么/M
女/B 性/M 肚/B 子/M 左/B 侧/M 疼/B 怎/B 么/M 回/M 事/M
女/B 性/M 腹/B 部/M 疼/B 痛/M 是/B 什/M 么/M 原/B 因/M ?/B
女/B 生/M 睡/B 觉/M 必/B 须/M 安/B 静/M 是/B 病/B 吗/B
女/B 生/M 大/B 姨/M 妈/M 期/B 间/M 打/B 针/M 好/B 么/B ?/B
女/B 生/M 快/B 来/B m/B 可/B 以/M 吃/B 巧/M 克/M 力/M 吗/B
女/B 的/B 来/B 大/B 姨/M 妈/M 不/B 能/M 吃/M 什/B 么/M ?/B
奶/B 头/M 灼/B 热/M ,/B 很/B 痛/B 是/B 什/M 么/M 原/B 因/M
如/B 何/M 治/B 疗/M 女/B 性/M 宫/B 颈/M 糜/M 烂/M 1/B 度/B
妇/B 肤/B 康/B 喷/B 雾/M 用/B 后/B 能/B 塞/B 药/B 吗/B ?/B
妊/B 娠/M 糖/B 尿/M 病/M 可/B 以/M 吃/B 香/M 蕉/M 吗/B ?/B
威/B 海/M 经/B 区/B 大/B 风/M 车/M 小/B 儿/M 推/M 拿/M
婴/B 儿/M 多/B 少/M 天/B 不/B 拉/B 屎/M 算/B 正/B 常/M ?/B
婴/B 儿/M 头/B 部/M 湿/B 疹/M 可/B 用/M 水/B 洗/M 么/B ?/B
婴/B 幼/M 儿/M 是/B 不/M 是/M 都/B 会/M 有/B 淋/B 巴/M ?/B
子/B 宫/M 内/M 膜/M 增/B 厚/M 是/B 怎/B 么/M 回/M 事/M ?/B
子/B 宫/M 后/B 位/B 做/B b/B 超/M 能/B 看/B 清/M 楚/M 吗/B
子/B 宫/M 囊/B 肿/M 会/B 转/B 移/M 到/B 腹/B 腔/M 吗/B ?/B
子/B 宫/M 糜/M 烂/M b/B 超/M 能/B 检/B 测/M 出/B 来/M 吗/B
子/B 宫/M 肌/M 瘤/M 可/B 以/M 用/B 养/B 生/M 足/B 贴/M ?/B
子/B 宫/M 腺/M 肌/M 症/M 知/B 道/M 是/B 什/M 么/M 么/B ?/B
孕/B 3/B 7/M 周/M 胎/B 盘/M 低/B 3/B 3/M 毫/B 米/M 危/B 险/M 吗/B
孕/B 3/B 9/M 周/M 6/B 分/B 泌/M 物/M 有/B 点/M 儿/M 粉/B 色/M
孕/B 7/B 周/B 促/B 黄/B 体/M 生/B 成/M 激/B 素/M 范/B 围/M
孕/B 8/B 个/B 月/B 腋/B 下/M 有/B 副/B 乳/M 痒/B 咋/B 办/M
孕/B 两/B 月/B 屁/B 股/M 痛/B 是/B 什/M 么/M 原/B 因/M ?/B
孕/B 妇/M 7/B 个/B 月/B 促/B 甲/M 状/M 腺/M 素/M 偏/B 高/M
孕/B 妇/M 尿/B 频/M 尿/B 不/B 尽/B 怎/B 么/M 回/M 事/M ?/B
孕/B 妇/M 建/B 档/M 做/B b/B 超/M 要/B 不/M 要/M 留/B 尿/B
孕/B 妇/M 用/B 什/B 么/M 洗/B 脸/M ,/B 不/B 会/M 起/B 斑/B
孕/B 妇/M 第/B 一/M 次/M 做/B b/B 超/M 怎/B 么/M 做/B 的/B
孕/B 妇/M 黄/B 金/M 素/B 的/B 功/B 效/M 是/B 什/M 么/M ?/B
孕/B 晚/M 期/M 胎/B 儿/M 大/B 脑/M 缺/B 氧/M 甲/B 减/M
孕/B 期/M 皮/B 肤/M 可/B 以/M 涂/B 维/B 生/M 素/M e/B 吗/B
孕/B 期/M 餐/B 后/B 二/B 小/B 时/M 葡/B 萄/M 糖/M 7/B ./M 5/M 5/M
孩/B 子/M 不/B 是/M 老/B 公/M 的/B ,/B 被/B 发/M 现/M 了/B
孩/B 子/M 哭/B 闹/M ,/B 我/B 就/B 出/B 虚/B 汗/M 难/B 受/M
孩/B 子/M 干/B 咳/M 干/B 呕/M 是/B 怎/B 么/M 回/M 事/M ?/B
孩/B 子/M 数/B 学/M 成/B 绩/M 下/B 滑/M 怎/B 么/M 办/M ?/B
宁/B 波/M 庄/B 桥/M 祥/M 星/B 医/B 院/M 怎/B 么/M 样/M ?/B
安/B 利/M 蛋/M 白/M 粉/M 加/B b/B 族/B 有/B 啥/M 作/B 用/M
完/B 美/M 活/B 力/M 多/B 和/B 营/B 养/M 餐/M 好/B 吗/B ?/B
官/B j/B 頚/B 湿/B 疣/M 样/B 病/B 变/M 是/B 性/B 病/M 吗/B
宝/B 宝/M 3/B 9/M ./M 8/M 度/B 的/B 高/B 烧/M 的/B 危/B 害/M 性/M
宝/B 宝/M 一/B 岁/B 半/B 8/B 个/B 牙/B 是/B 缺/B 什/B 么/M
宝/B 宝/M 体/B 温/M 3/B 7/M ./M 9/M 要/B 用/B 退/B 热/M 贴/M 吗/B
宝/B 宝/M 六/B 个/B 多/B 月/B ,/B 舌/B 苔/M 比/B 较/M 厚/B
宝/B 宝/M 发/B 烧/M 3/B 9/M ./M 5/M 度/B 化/B 验/M 血/B 正/B 常/M
宝/B 宝/M 口/B 里/B 有/B 泡/B 泡/M ,/B 嗓/B 子/M 嘶/B 哑/M
宝/B 宝/M 咳/B 嗽/M 困/B 难/M 是/B 什/M 么/M 样/B 呀/B !/B
宝/B 宝/M 夜/B 晚/M 手/B 脚/M 发/B 烫/B ,/B 大/B 便/M 黑/B
宝/B 宝/M 总/B 发/B 烧/M 妈/B 妈/M 该/B 怎/M 么/M 办/M
宝/B 宝/M 打/B 预/M 防/M 针/M 脸/B 上/M 起/B 疙/B 瘩/M ?/B
宝/B 宝/M 睡/B 觉/M 老/B 踢/B 被/B 子/M 怎/B 么/M 办/M ?/B
宝/B 宝/M 背/B 烫/B 伤/M 可/B 以/M 差/B 牙/B 膏/M 吗/B ?/B
宝/B 宝/M 贫/B 血/M 吃/B 衍/B 生/M 铁/B 锌/B 钙/B 吗/B ?/B
宝/B 宝/M 贫/B 血/M 影/B 响/M 体/B 重/M 增/M 加/M 吗/B ?/B
宝/B 宝/M 高/B 烧/M 3/B 8/M ./M 5/M 不/B 退/B 烧/M 怎/B 么/M 办/M
宫/B 外/M 孕/B 手/B 术/M 后/B 可/B 以/M 进/B 补/M 吗/B ?/B
宫/B 腔/M 镜/M 肚/B 子/M 的/B 口/B 几/B 个/M ,/B 多/B 大/M
宫/B 颈/M 球/B 囊/M 脱/B 落/M 还/B 有/M 效/B 果/M 吗/B ?/B
宫/B 颈/M 癌/M 患/B 者/M 可/B 以/M 吃/B 麝/B 香/M 吗/B ?/B
宫/B 颈/M 糜/M 烂/M 自/B 己/M 会/B 有/B 感/B 觉/M 吗/B ?/B
对/B 孩/B 子/M 不/B 求/B 大/B 富/M 大/M 贵/M 只/B 求/M
寻/B 麻/M 疹/M ,/B 晚/B 上/M 睡/B 觉/M 脖/B 子/M 出/B 汗/M
寻/B 麻/M 疹/M 上/B 来/B 一/M 片/B ,/B 下/B 去/M 很/B 快/M
寻/B 麻/M 疹/M 能/B 引/B 起/M 皮/B 肤/M 肿/B 痛/M 吗/B ?/B
将/B 孕/B 检/B 后/B 漂/B 亮/M 的/B 侄/B 媳/M 妇/M 诱/B x/B
小/B 产/M 后/B 什/B 么/M 时/M 候/M 进/B 补/M 较/B 好/M
小/B 便/M 里/B 面/M 有/B 泡/B 沫/M 什/B 么/M 原/B 因/M ?/B
小/B 儿/M 睾/B 丸/M 有/B 时/M 下/B 降/M ,/B 有/B 时/M 上/B
小/B 儿/M 麻/B 疳/B 颗/B 粒/M 婴/B 儿/M 能/B 吃/B 吗/B ?/B
小/B 孩/M 1/B 岁/B 多/B 多/M 太/B 瘦/M 怎/B 么/M 调/B 理/M
小/B 孩/M 三/B 岁/B 爱/B 咬/B 嘴/B 唇/M 怎/B 么/M 办/M ?/B
小/B 孩/M 儿/M 心/B 疼/M 是/B 怎/B 么/M 回/M 事/M 儿/B ?/B
小/B 孩/M 几/B 时/B 上/B 幼/B 稚/M 园/M 比/B 较/M 好/M ?/B
小/B 孩/M 在/B 9/B 月/B 份/M 要/B 晚/B 一/B 年/M 上/B 学/M
小/B 孩/M 子/M 办/B 的/B 医/B 保/M 卡/M 有/B 用/M 吗/B ?/B
小/B 孩/M 子/M 发/B 烧/M 而/B 且/M 只/B 有/M 5/B 克/B 血/B
小/B 孩/M 感/B 冒/M 咳/B 嗽/M 可/B 以/M 吃/B 梨/B 吗/B ?/B
小/B 孩/M 掉/B 头/M 发/M 可/B 以/M 用/B 生/B 姜/M 吗/B ?/B
小/B 孩/M 耳/B 朵/M 什/B 么/M 时/M 候/M 发/B 育/M 好/B ?/B
小/B 宝/M 宝/M 流/B 鼻/M 涕/M 多/B 久/M 能/B 好/B 呢/B ?/B
小/B 朋/M 友/M 经/B 常/M 发/B 烧/M ,/B 什/B 么/M 原/B 因/M
小/B 肚/M 子/M 按/B 压/M 疼/B 右/B 侧/M 睪/B 丸/B 疼/B
小/B 腹/M 疼/B 痛/M ,/B 肛/B 门/M 坠/B 胀/B 想/B 大/B 便/M
小/B 说/M ,/B 怀/B 孕/M 后/M 我/B 拒/M 绝/M 了/B 老/B 公/M
尿/B 检/M 蛋/B 白/M 十/B 一/M 是/B 什/M 么/M 意/B 思/M ?/B
尿/B 潜/M 血/M 2/B 十/B 阴/B 性/M 是/B 什/M 么/M 意/B 思/M
屁/B 股/M 里/B 为/B 什/M 么/M 起/B 个/B 包/B ,/B 不/B 痛/M
左/B 侧/M 囊/B 块/B ,/B 输/B 卵/M 管/M 积/B 水/M 可/B 能/M
左/B 旋/M 肉/M 碱/M 茶/B 多/M 酚/M 片/B 副/B 作/M 用/M
左/B 氧/M 氟/M 沙/M 星/M 要/B 过/B 敏/M ,/B 吃/B 啥/B 药/B
左/B 肾/M 中/B 上/B 级/M 可/B 见/M 1/B 4/M */B 1/B 3/M m/M m/M 回/B 声/M
左/B 边/M 脸/B 发/B 红/M 右/B 边/M 一/B 点/B 没/B 事/M
差/B 壮/B 阳/M 药/M 对/B 人/B 身/B 体/M 有/B 害/M 吗/B ?/B
带/B 司/B 字/B 的/B 药/B ,/B 治/B 疗/M 支/B 气/M 管/M 炎/M
常/B 冒/B 汗/M ,/B 感/B 觉/M 虚/B 弱/M 手/B 指/M 疼/B 痛/M
常/B 喝/M 山/B 楂/M 水/M 有/B 过/B 敏/M 反/M 应/M 吗/B ?/B
干/B 咳/M ,/B 咳/B 白/B 痰/B 和/B 黄/B 痰/B 的/B 区/B 别/M
平/B 江/M 县/M 第/B 一/B 人/B 民/M 医/M 院/M 时/B 间/M
平/B 躺/M 就/B 恶/B 心/M 是/B 不/M 是/M 怀/B 孕/M 啦/B ?/B
年/B 纪/M 大/B 了/B 一/B 定/M 要/M 长/B 白/B 发/M 吗/B ?/B
广/B 州/M 中/B 医/M 药/M 学/B 院/M 有/B 有/B 植/B 发/M ?/B
广/B 州/M 市/M 妇/B 婴/M 韩/B 田/M 俊/M 9/B 月/B 开/B 诊/B
床/B 上/M 家/B 里/M 的/B 毛/B 毛/M 如/B 何/M 处/B 理/M
废/B 机/B 油/M 对/B 皮/B 肤/M 有/B 哪/B 些/M 过/B 敏/M ?/B
康/B 复/M 新/M 液/M 能/B 缓/B 解/M 嗓/B 子/M 痛/B 吗/B ?/B
康/B 宝/M 莱/M 对/B 身/B 体/M 有/B 没/M 有/M 害/B 处/M ?/B
开/B 发/M 区/M 妇/B 科/M 医/B 院/M 圣/B 爱/B 医/B 院/M
异/B 常/M 的/B 原/B 始/M 幼/B 稚/M t/B 淋/B 巴/M 细/M 胞/M
引/B 产/M 后/B 多/B 久/M 可/B 以/M 穿/B 瘦/B 身/M 衣/B ,/B
引/B 产/M 打/B 针/M 后/B 2/B 分/B 钟/M 肚/B 疼/B 一/B 次/M
引/B 起/M 全/B 身/M 器/B 官/M 下/B 垂/M 的/B 原/B 因/M ?/B
张/B 亚/M 历/M 疾/B 病/M 内/B 镜/M 活/B 检/M 诊/B 断/M
张/B 家/M 界/M 旅/M 游/M 适/B 合/M 带/B 孩/B 子/M 吗/B ?/B
弱/B 视/M 散/B 瞳/M 回/B 引/B 起/M 视/B 力/M 下/M 降/M ?/B
弱/B 视/M 眼/B 镜/M 戴/B 多/B 久/M 才/B 有/B 效/M 果/M ?/B
当/B 年/M 电/B 视/M 广/M 告/M 增/B 高/M 6/B 公/B 分/M 的/B
得/B 了/B 针/B 眼/M 可/B 以/M 滴/B 眼/M 药/M 水/M 吗/B
得/B 了/B 骶/B 髂/M 关/B 节/M 炎/M 能/B 工/B 作/M 吗/B ?/B
得/B 幽/B 门/M 螺/B 旋/M 杆/B 菌/M 的/B 人/B 噎/B 吗/B ?/B
得/B 性/B 病/M 的/B 前/B 期/M 是/B 什/M 么/M 症/B 状/M ?/B
心/B 情/M 不/M 好/M 大/B 姨/M 妈/M 会/B 推/B 迟/M 吗/B ?/B
心/B 电/M 图/M 会/B 检/B 查/M 出/B 什/B 么/M 疾/B 病/M ?/B
心/B 肌/M 梗/M 塞/M 能/B 吃/B 黑/B 巧/M 克/M 力/M 吗/B ?/B
心/B 肺/M 复/M 苏/M 5/B 个/B 循/B 环/M 是/B 啥/B 意/B 思/M
心/B 血/M 管/M 疾/M 病/M 是/B 因/M 为/M 引/B 起/M 的/B
心/B 衰/M 的/B 人/B 可/B 以/M 吃/B 糖/B 葫/M 芦/M 么/B ?/B
必/B 知/M :/B 剖/B 腹/M 产/M 最/B 多/M 能/B 生/B 几/B 胎/B
怀/B 孕/M 上/B 完/B 厕/B 所/M 裤/B 子/M 湿/B 湿/B 的/B
怀/B 孕/M 1/B 个/B 月/B 打/B 掉/M 需/B 要/M 休/B 息/M 吗/B
怀/B 孕/M 2/B 4/M 周/M 羊/B 水/M 最/B 大/M 深/B 度/M 3/B ./M 0/M c/M m/M
怀/B 孕/M 2/B 个/B 月/B 起/B 了/B 疱/B 疹/M 怎/B 么/M 办/M
怀/B 孕/M 2/B 周/B 孕/B 酮/M 正/B 常/M 值/M 是/B 多/B 少/M
怀/B 孕/M 2/B 月/B 清/B 洗/M 完/B 乳/B 头/M 肚/B 子/M 痛/M
怀/B 孕/M 3/B 8/M 天/B 晚/B 上/M 肚/B 子/M 痛/M 1/B 0/M 分/B 钟/M
怀/B 孕/M 3/B 个/B 多/B 月/B 能/B 剧/B 烈/M 运/M 动/M 吗/B
怀/B 孕/M 3/B 个/B 月/B 女/B 上/M 位/M 用/B 力/M 过/B 猛/B
怀/B 孕/M 3/B 个/B 月/B 打/B 掉/M 一/B 定/M 要/M 证/B 明/M
怀/B 孕/M 4/B 个/B 月/B 做/B 人/M 流/M 要/B 怎/B 样/M 做/B
怀/B 孕/M 4/B 个/B 月/B 左/B 右/M 可/B 以/M 人/B 流/M 么/B
怀/B 孕/M 5/B 个/B 半/B 月/M 每/B 天/M 补/B 多/B 少/M 钙/B
怀/B 孕/M 5/B 个/B 半/B 月/M 部/B 分/M 前/B 置/M 胎/M 盘/M
怀/B 孕/M 5/B 个/B 月/B 内/B 裤/M 上/B 有/B 一/B 滴/M 血/M
怀/B 孕/M 5/B 个/B 月/B 去/B k/B t/M v/M 带/B 一/B 个/B 小/B 时/M
怀/B 孕/M 5/B 个/B 月/B 同/B 房/M 肚/B 子/M 痛/M 见/B 红/M
怀/B 孕/M 5/B 个/B 月/B 浮/B 肿/M 可/B 以/M 泡/B 脚/M 吗/B
怀/B 孕/M 5/B 周/B 有/B 一/B 点/B 褐/B 色/M 分/B 泌/M 物/M
